,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
699,200 Brannan St APT 232,94107,- Condo for sale,3100000,3 ,3 ,2391,1296.5286491007946,0,0
700,725 Pine St APT 206,94108,- Condo for sale,495000,Studio,1 ,353,1402.2662889518413, Debi Green,SOTHEBY'S INTERNATIONAL REALTY
701,1875 Mission St APT 109,94103,- Condo for sale,1200000,2 ,2 ,1272,943.3962264150944, George W. Langford,COMPASS
702,400 Bristol Ct #323,94130,- New construction,1152000,1 ,1 ,965,1193.782383419689, THE AGENCY,Wilson Meany/Cahill
703,53-55 Pomona St,94124,- Multi-family home for sale,1459000,5 ,3 ,2763,528.0492218602968, Marina Shiferman,COMPASS
704,290 Meadow Dr #2,94130,- New construction,3946000,3 ,4 ,2510,1572.1115537848605, THE AGENCY,Wilson Meany/ Plant Construction
705,280 Spear St #10A,94105,- New construction,1649000,2 ,2 ,1453,1134.8933241569168, POLARIS PACIFIC,Tishman Speyer
706,276 9th Ave,94118,- Multi-family home for sale,2195000,6 ,3 ,3878,566.0134089736978,0,0
707,1177 California St APT 503,94108,- Condo for sale,529000,Studio,1 ,411,1287.1046228710463, Georgina McInerney,COMPASS
708,50 Lansing St UNIT 101,94105,- Condo for sale,899500,1 ,1 ,850,1058.235294117647, Afsaneh Valizadeh,AFI REAL ESTATE
709,333 Main St UNIT 9B,94105,- Condo for sale,2199000,3 ,3 ,1462,1504.1039671682627, Robyn L. Kaufman,COMPASS
710,930 Pine St APT 301,94108,- Condo for sale,790000,1 ,1 ,0,inf, Karen C. Dell'Isola,COLDWELL BANKER REALTY
711,2111 Hyde St #301,94109,- Condo for sale,1995000,2 ,2 ,1820,1096.1538461538462, Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
712,1616 Judah St #1618,94122,- Multi-family home for sale,1295000,2 ,2 ,1890,685.1851851851852, Dee Saroni,SOTHEBY'S INTERNATIONAL REALTY
713,1282 Hayes St #401,94117,- Condo for sale,2395000,3 ,3 ,0,inf, Michael R. Keane-Stack,VANGUARD PROPERTIES
714,140 S Van Ness Ave UNIT 529,94103,- Condo for sale,899000,2 ,2 ,1160,775.0, Karen Wong-Dunlap,KELLER WILLIAMS SF MONTEREY
715,3250 Judah St,94122,- House for sale,1599000,2 ,2 ,3029,527.8969957081545,0,0
716,229-233 Whitney St,94131,- Multi-family home for sale,1695000,-- ,-- ,2505,676.6467065868263,0,0
717,1747 Dolores St #1749,94110,- Condo for sale,3144000,5 ,6 ,3155,996.513470681458, Ron Abta,POLARIS REALTY
718,1001 Pine St UNIT 708,94109,- Condo for sale,549000,Studio,1 ,454,1209.2511013215858, Kevin Wakelin,COMPASS
719,854 Capp St UNIT 1,94110,- Condo for sale,2199000,3 ,3 ,0,inf, Rita V. Schmid,VANGUARD PROPERTIES
720,236 Shipley St #304,94107,- Condo for sale,998000,2 ,2 ,825,1209.6969696969697,0,0
721,229 Brannan St,94107,- New construction,3995000,4 ,3 ,2612,1529.4793261868301, Jason H. Hoffman,COMPASS
722,280 Spear St #1B,94105,- New construction,1200000,2 ,1 ,953,1259.1815320041974, POLARIS PACIFIC,Tishman Speyer
723,832 Florida St,94110,- House for sale,1299000,4 ,2 ,1920,676.5625,0,0
724,250 King St UNIT 634,94107,- Condo for sale,735000,1 ,1 ,760,967.1052631578947, ENGEL & VOELKERS SAN FRANCISCO,Beacon
725,445 Francisco St #601F,94133,- Condo for sale,2198000,2 ,2 ,1311,1676.5827612509536, Pamela R. Culp,COMPASS
726,3535 Wawona St #515,94116,- Condo for sale,1334000,2 ,2 ,991,1346.1150353178607,0,0
727,5800 3rd St UNIT 1211,94124,- Condo for sale,680000,1 ,1 ,817,832.313341493268,0,0
728,3620 Cesar Chavez St #303,94110,- New construction,1199000,2 ,2 ,1038,1155.1059730250481, Massimo F. Loporto,VANGUARD PROPERTIES
729,74 New Montgomery St UNIT 509,94105,- Condo for sale,615000,Studio,1 ,486,1265.432098765432, Ron Salter,COMPASS
730,690 Market St #201,94104,- Condo for sale,985000,1 ,2 ,1290,763.5658914728682, Robyn L. Kaufman,COMPASS
731,555 Golden Gate Ave #5A,94102,- New construction,729000,1 ,1 ,568,1283.4507042253522, Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
732,388 Fulton St #405,94102,- Condo for sale,898000,2 ,1 ,720,1247.2222222222222,0,0
733,208 Dorland St #210,94114,- Multi-family home for sale,4500000,7 ,4 ,2800,1607.142857142857, Todd Wiley,COMPASS
734,72 Townsend St UNIT 504,94107,- Condo for sale,1495000,2 ,2 ,1260,1186.5079365079366, Lauren J. Fraser,SOTHEBY'S INTERNATIONAL REALTY
735,601 Van Ness Ave APT 944,94102,- Condo for sale,668000,1 ,1 ,894,747.2035794183445, Robert E. Merryman,SOTHEBY'S INTERNATIONAL REALTY
736,917 Bryant St,94103,- House for sale,3488000,2 ,2 ,3550,982.5352112676056, Payton R. Stiewe,ARTEMIS REAL ESTATE
737,555 4th St UNIT 447,94107,- Condo for sale,599000,Studio,1 ,454,1319.3832599118944, Jessie Lee,COMPASS SF
738,72 Townsend St UNIT 702,94107,- New construction,1599000,2 ,2 ,0,inf, COLDWELL BANKER REALTY,KB Home
739,201 Folsom St APT 6H,94105,- Condo for sale,1098000,1 ,1 ,851,1290.246768507638,0,0
740,195 7th St APT 402,94103,- Condo for sale,399000,Studio,1 ,0,inf, INC.,JSL REALTY
741,195 7th St APT 407,94103,- Condo for sale,378000,Studio,1 ,298,1268.456375838926, Francis E. Somsel,COMPASS
742,1776 Sacramento St APT 305,94109,- Condo for sale,1095000,2 ,2 ,1091,1003.6663611365719, Dennis Sanchez,BERRI REAL ESTATE
743,(undisclosed Address),94124,- Condo for sale,635000,2 ,2 ,790,803.7974683544304, Eve J. Combs-Cofer,BETTER HOMES AND GARDENS THRIV
744,601 Van Ness Ave APT 802,94102,- Condo for sale,625000,1 ,1 ,676,924.5562130177515,0,0
745,751 Taraval St #755,94116,- Multi-family home for sale,2495000,5 ,1 ,5627,443.39790296783366, Paul Barbagelata,BARBCO
746,1875 Mission St APT 410,94103,- Condo for sale,980000,1 ,1 ,794,1234.2569269521412, Malin P. Kansal,VANGUARD PROPERTIES
747,855 Folsom St APT 519,94107,- Condo for sale,1595000,2 ,2 ,1396,1142.5501432664757, Gael Bruno,SOTHEBY'S INTERNATIONAL REALTY
748,1438 Green St,94109,- Condo for sale,2300000,3 ,3 ,1738,1323.3601841196778,0,0
749,140 S Van Ness Ave UNIT 405,94103,- Condo for sale,750000,1 ,2 ,830,903.6144578313254,0,0
750,325 Wayland St,94134,- House for sale,1799000,5 ,4 ,3765,477.82204515272247, James K. Pan,KC STRATEGY INC.
751,451 Kansas St UNIT 389,94107,- Condo for sale,615000,Studio,1 ,495,1242.4242424242425,0,0
752,52 Innes Ct UNIT 103,94124,- Condo for sale,879000,2 ,2 ,1185,741.7721518987341,0,0
753,718 Long Bridge St APT 1605,94158,- Condo for sale,2550008,2 ,2 ,1569,1625.2441045251753, VANGUARD PROPERTIES,Malin Kansal
754,148 Fillmore St #152,94117,- Multi-family home for sale,2995000,7 ,3 ,3801,787.9505393317548, Louis Cornejo,URBAN GROUP REAL ESTATE
755,1160 Mission St UNIT 803,94103,- Condo for sale,748000,1 ,1 ,755,990.7284768211921, Crystal C. Injo,COMPASS
756,5853 Mission St APT 4,94112,- Condo for sale,668000,2 ,1 ,805,829.8136645962733, INC,EXP REALTY OF CALIFORNIA
757,232 Minerva St,94112,- House for sale,1299000,5 ,3 ,2661,488.16234498308904,0,0
758,201 Folsom St #41B,94105,- Condo for sale,6800000,4 ,4 ,5223,1301.9337545471951, Masoumeh M. Pahlbod,ENGEL & VOELKERS SAN FRANCISCO
759,1070 Green St APT 801,94133,- Condo for sale,2450000,2 ,2 ,1616,1516.0891089108911, Daniel J. DerVartanian,SOTHEBY'S INTERNATIONAL REALTY
760,2855 Folsom St #A,94110,- Condo for sale,2995000,3 ,3 ,2290,1307.8602620087336, Jonathan B. Deason,VANGUARD PROPERTIES
761,1046 Sanchez St,94114,- Condo for sale,1795000,3 ,1 ,1443,1243.936243936244,0,0
762,280 Spear St #1F,94105,- New construction,1100000,2 ,1 ,823,1336.5735115431348, POLARIS PACIFIC,Tishman Speyer
763,Type 02 Plan,Serif,- New construction,583250,-- ,1 ,467,1248.9293361884368,0,L37 Partners
764,1360 Montgomery St,94133,- Condo for sale,7995000,4 ,4 ,2618,3053.857906799083,0,0
765,974 Geneva Ave #3,94112,- New construction,1385000,4 ,4 ,1397,991.4101646385111, Janine Hunn,VANGUARD PROPERTIES
766,420 Mission Bay Blvd #104,94158,- Condo for sale,1838000,2 ,3 ,1635,1124.1590214067278, COMPASS,Madrone
767,210 29th St,94131,- Multi-family home for sale,2150000,5 ,2 ,3130,686.9009584664536, Natalie Rome,COMPASS
768,435 Powell St #441,94102,- Multi-family home for sale,20000000,1 ,-- ,26152,764.7598654022637, BROKER,JEREMY FALK BLATTEIS
769,401 Harrison St APT 30B,94105,- Condo for sale,1999000,2 ,2 ,1311,1524.790236460717, Joseph C. Silva Gonsalves,COMPASS
770,Type 17 Plan,Serif,- New construction,703250,-- ,1 ,503,1398.1113320079523,0,L37 Partners
771,11 Franklin St UNIT 802,94102,- Condo for sale,1275000,2 ,2 ,979,1302.3493360572013, Neil  Canlas,THE CANLAS BROTHERS
772,1000 3rd St UNIT 1506,94158,- Condo for sale,1699000,2 ,2 ,1267,1340.962904498816, Robyn L. Kaufman,COMPASS
773,1075 Market St UNIT 413,94103,- New construction,949000,2 ,2 ,844,1124.4075829383887, Abigail R. Picache,VANGUARD PROPERTIES
774,301 Mission St APT 3D,94105,- Condo for sale,899000,1 ,1 ,789,1139.4169835234475, COMPASS SF,Handel Architects
775,5900 3rd St UNIT 2424,94124,- Condo for sale,639000,1 ,1 ,775,824.516129032258, Michael  Minson,KELLER WILLIAMS SAN FRANCISCO
776,201 Harrison St APT 401,94105,- Condo for sale,589000,Studio,1 ,432,1363.4259259259259, Kathy Turnquist,CITILAND INVESTMENT CORP.
777,1490 Ocean Ave APT 403,94112,- Condo for sale,1499000,3 ,2 ,1258,1191.5739268680445,0,0
778,2448 Lombard St PENTHOUSE 4,94123,- New construction,2598000,3 ,3 ,0,inf, JS SULLIVAN SALES AND MARKETIN,JS Sullivan Development
779,601 Van Ness Ave APT 132,94102,- Condo for sale,599000,1 ,1 ,694,863.1123919308358, Peter Goss,CORCORAN GLOBAL LIVING
780,218 Union St APT 5,94133,- Condo for sale,1400000,1 ,1 ,0,inf, Debi Green,SOTHEBY'S INTERNATIONAL REALTY
781,2658 22nd St,94110,- House for sale,2480000,3 ,2 ,1902,1303.8906414300736, Patricia A. Lawton,SOTHEBY'S INTERNATIONAL REALTY
782,301 Mission St APT 11E,94105,- Condo for sale,1088000,1 ,2 ,1027,1059.396299902629, Mark A. Venegas,COLDWELL BANKER REALTY
783,3365 20th St APT 2,94110,- Condo for sale,1995000,4 ,3 ,2187,912.2085048010974, Robert J. Vernon,COMPASS SF
784,181 Fremont St UNIT 54E,94105,- New construction,1700000,1 ,1 ,780,2179.4871794871797, Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
785,1785-1787 Alabama St,94110,- Multi-family home for sale,1995000,-- ,-- ,3044,655.3876478318002,0,0
786,2040 Franklin St APT 708,94109,- Condo for sale,849995,1 ,2 ,1040,817.3028846153846,0,0
787,210 Dorland St,94114,- Condo for sale,2500000,3 ,1 ,0,inf, Todd Wiley,COMPASS
788,217 Gaven St,94134,- House for sale,1388888,4 ,3 ,2200,631.3127272727273,0,0
789,301 Rhode Island St #B6,94103,- Condo for sale,1033000,1 ,2 ,1291,800.1549186676995, Natalie Rome,COMPASS
790,190 Albion St #192,94110,- Multi-family home for sale,2500000,5 ,2 ,3180,786.1635220125786, Nick Flageollet,ACKERMAN REALTY GROUP
791,3733 San Bruno Ave,94134,- House for sale,1888000,6 ,5 ,5084,371.3611329661684,0,0
792,1160 Mission St UNIT 1106,94103,- Condo for sale,1350000,2 ,2 ,1146,1178.0104712041884, Cooper Gaines,CORCORAN GLOBAL LIVING
793,2829 25th St #3,94110,- Condo for sale,1649000,3 ,3 ,1464,1126.3661202185792, Jason H. Hoffman,COMPASS
794,1388 Gough St APT 1005,94109,- Condo for sale,1495000,2 ,2 ,1285,1163.4241245136186, Morton Mah,COMPASS
795,555 Golden Gate Ave #5F,94102,- New construction,1059000,2 ,2 ,977,1083.9303991811669, Loring M. Aguillon-Racine,JS SULLIVAN SALES AND MARKETIN
796,601 Van Ness Ave APT 812,94102,- Condo for sale,679000,1 ,1 ,708,959.0395480225989, Daniel P. Langford,CORCORAN GLOBAL LIVING
797,170 King St UNIT 601,94107,- Condo for sale,1250000,2 ,2 ,0,inf, Tim M. Heffernan,REAL ESTATE ADVISOR GROUP
798,1439 S Van Ness Ave #1441,94110,- Multi-family home for sale,1725000,5 ,3 ,2650,650.9433962264151, Nicholas J. Thornton,COMPASS
799,401 Harrison St APT 40B,94105,- Condo for sale,2450000,2 ,2 ,1419,1726.568005637773, Jason Gorski,COMPASS SF
