,address,zip,building_type,price,beds,baths,sqft,price/sqft,agent,brokerage
574,721 Randolph St,94132,- Multi-family home for sale,1289000,4 ,1 ,2386,540.2347024308466, Michael B. Johnston,COMPASS
575,588 Chestnut St,94133,- New construction,1649000,4 ,2 ,1420,1161.2676056338028, Joshua A. Lawrence,COMPASS
576,71 Curtis St #71A,94112,- House for sale,1550000,3 ,2 ,2177,711.9889756545705, Burton Louie,COMPASS
577,1160 Mission St UNIT 612,94103,- Condo for sale,308053,1 ,1 ,662,465.3368580060423, Robert  Belli,HOME QUEST REALTY
578,588 Minna St #203,94103,- New construction,649000,1 ,1 ,644,1007.7639751552795, COMPASS,Z&L Properties
579,3321 26th St APT 4,94110,- Condo for sale,995000,2 ,2 ,1034,962.2823984526112, Robin Hubinsky,VANGUARD PROPERTIES
580,601 Van Ness Ave APT 51,94102,- Condo for sale,849000,2 ,2 ,1037,818.7078109932497, Daniel P. Langford,CORCORAN GLOBAL LIVING
581,8 Buchanan St UNIT 401,94102,- Condo for sale,898000,2 ,1 ,789,1138.149556400507, Anthony R. Navarro,HARPER REAL ESTATE
582,655 Corbett Ave #102,94114,- Condo for sale,600000,1 ,1 ,619,969.3053311793215,0,0
583,140 S Van Ness Ave UNIT 1041,94103,- Condo for sale,639000,1 ,1 ,630,1014.2857142857143, Joan H. Meyer,BETTER HOMES AND GARDENS THRIV
584,1000 3rd St UNIT 508,94158,- Condo for sale,998000,1 ,1 ,830,1202.4096385542168,0,0
585,555 4th St UNIT 105,94107,- Condo for sale,1995000,3 ,3 ,2279,875.3839403247039, Mollie W. Poe,INDIGO REAL ESTATE
586,54 Williams Ave,94124,- Multi-family home for sale,899000,4 ,2 ,1992,451.30522088353416, Anthony C. Tsia,BAYCAL REALTY CORPORATION
587,1835 Franklin St APT 702,94109,- Condo for sale,1195000,2 ,2 ,1500,796.6666666666666, Michael B. Harrington,SOTHEBY'S INTERNATIONAL REALTY
588,218 Winfield St,94110,- Multi-family home for sale,1799000,4 ,3 ,1997,900.8512769153731,0,0
589,439 28th Ave,94121,- Multi-family home for sale,1980000,3 ,-- ,3175,623.6220472440945, David Yip,BARBCO
590,5900 3rd St UNIT 2215,94124,- Condo for sale,949000,3 ,3 ,1821,521.1422295442064, Alek Keytiyev,COMPASS
591,1310 Bowdoin St,94134,- House for sale,1099000,4 ,2 ,1794,612.5975473801561, James S. Koh,COMPASS
592,301 Mission St APT 10H,94105,- Condo for sale,750000,1 ,1 ,666,1126.126126126126, JUNG & CO.,ANDERSEN
593,272 Hermann St #276,94117,- Multi-family home for sale,1995000,8 ,3 ,3750,532.0, Michael Freethy,COMPASS
594,425 1st St UNIT 4705,94105,- Condo for sale,1000000,1 ,1 ,710,1408.4507042253522, Matthew W. Finley,COMPASS
595,308 Crescent Ave,94110,- House for sale,2098000,5 ,3 ,2069,1014.016433059449,0,0
596,250 King St UNIT 1214,94107,- Condo for sale,869000,1 ,1 ,962,903.3264033264034, Thomas A. Baumgartner,REDFIN
597,614 Natoma St #616A,94103,- Condo for sale,1095000,5 ,4 ,1508,726.1273209549072, BROKER,JOHN WARNER
598,720 Stockton St APT 6,94108,- Condo for sale,1175000,2 ,2 ,0,inf, Jeffrey A. Silver,COLDWELL BANKER REALTY
599,1875 Mission St APT 203,94103,- Condo for sale,868000,1 ,1 ,810,1071.6049382716049, Michael  Minson,KELLER WILLIAMS SAN FRANCISCO
600,220 Grand View Ave,94114,- House for sale,1899000,3 ,2 ,1348,1408.753709198813, Tito Avila,STERLING PREMIER PROPERTIES
601,1177 California St APT 1422,94108,- Condo for sale,655000,1 ,1 ,538,1217.4721189591078, Stephen K. Gomez,COMPASS
602,201 Harrison St APT 802,94105,- Condo for sale,499000,Studio,1 ,432,1155.0925925925926, Jeff J. Appenrodt,LAUREL REALTY & INVESTMENT
603,601 Van Ness Ave APT 230,94102,- Condo for sale,549000,1 ,1 ,677,810.930576070901, Susan A. Getz,COMPASS
604,1300 22nd St #206,94107,- Condo for sale,1365000,2 ,2 ,920,1483.695652173913, Rochelle Vandermerwe,ARTEMIS REAL ESTATE
605,646 Madrid St #648,94112,- Multi-family home for sale,989000,4 ,2 ,1400,706.4285714285714, Daniel Lee,FAR EAST REALTY
606,75 Howard St #304,94105,- New construction,1850000,1 ,2 ,1082,1709.796672828096, Inc. and SRE Group Ltd.,Paramount Group
607,380 14th St APT 208,94103,- Condo for sale,699000,1 ,1 ,486,1438.2716049382716, Olivia O. Ongpin,VANGUARD PROPERTIES
608,1501 Greenwich St UNIT 302,94123,- New construction,1395000,2 ,2 ,1050,1328.5714285714287, Eric John Weaver,COMPASS SF
609,2261 Bush St APT 3,94115,- Condo for sale,1049000,2 ,1 ,750,1398.6666666666667, Richard B. Teed,COMPASS
610,1545 Pine St #202,94109,- New construction,565000,Studio,1 ,423,1335.6973995271867, Lisa J. Wolfe,COMPASS
611,765 Market St APT 34A,94103,- Condo for sale,9900000,4 ,5 ,4550,2175.8241758241757, Gregg Lynn,SOTHEBY'S INTERNATIONAL REALTY
